;Månedslønn (kr);;;;;
;Gjennomsnitt;;;;;
;2021;;;2022;;
;Begge kjønn;Menn;Kvinner;Begge kjønn;Menn;Kvinner
0000 Uoppgitt / yrker som ikke kan identifiseres;43 490;43 880;42 250;45 630;45 930;44 740
0110 Offiserer fra fenrik og høyere grad;74 330;75 510;64 730;77 960;79 330;67 660
0210 Befal med sersjant grad;60 690;62 140;51 760;65 750;67 300;56 770
0310 Menige;:;:;:;:;:;:
1111 Politikere;72 540;73 630;71 280;73 530;74 520;72 290
1112 Toppledere i offentlig administrasjon;102 520;103 190;101 450;108 060;109 350;106 190
1114 Toppledere i interesseorganisasjoner;66 750;69 430;63 600;68 730;71 210;65 900
1120 Administrerende direktører;87 240;90 710;75 660;93 240;96 970;81 140
1211 Finans- og økonomisjefer;96 120;106 910;82 360;99 650;111 250;84 900
1212 Personalsjefer;85 750;87 000;85 080;87 980;90 360;86 660
1213 Strategi- og planleggingssjefer;71 910;73 670;70 500;74 980;76 800;73 550
1219 Andre administrative ledere;74 100;80 720;66 940;77 130;83 950;69 810
1221 Salgs- og markedssjefer;82 110;85 320;73 440;84 930;88 030;76 860
1222 PR- og informasjonssjefer;73 990;75 560;72 150;77 530;79 950;74 830
1223 Forsknings- og utviklingsledere;88 480;92 060;78 920;91 010;94 060;83 500
1311 Ledere i skogbruk, gartnerier mv.;62 240;64 390;58 190;65 570;68 620;60 020
1312 Ledere innen akvakultur mv.;74 320;73 590;:;78 540;79 170;:
1321 Ledere av industriproduksjon mv.;76 570;76 800;74 880;79 710;79 830;78 890
1322 Ledere av olje- og gassutvinning mv.;110 580;111 240;108 220;119 490;119 420;119 760
1323 Ledere av bygge- og anleggsvirksomhet;66 900;66 970;65 970;70 000;70 030;69 620
1324 Ledere av logistikk og transport mv.;70 330;70 400;69 980;74 200;74 470;72 840
1330 Ledere av IKT-enheter;84 850;85 280;82 480;89 970;90 260;88 330
1341 Ledere av omsorgstjenester for barn;57 320;61 370;56 850;59 120;62 760;58 670
1342 Ledere av helsetjenester;67 870;78 520;63 790;70 560;81 610;66 520
1343 Ledere av eldreomsorg;62 470;65 770;61 370;65 880;69 540;64 640
1344 Ledere av sosialomsorg;60 100;62 470;57 260;61 830;64 290;59 130
1345 Ledere av utdanning og undervisning;64 230;65 830;63 030;67 020;68 780;65 710
1346 Ledere av forsikring og finansvirksomhet;101 920;107 600;90 550;108 660;114 970;96 290
1349 Andre ledere av produksjon og tjenesteyting;75 030;77 140;71 350;78 770;81 350;74 350
1411 Hotellsjefer;49 570;50 490;48 430;51 720;52 770;50 440
1412 Restaurantsjefer;44 380;45 780;41 950;46 120;48 000;43 080
1420 Varehandelssjefer;54 850;61 290;47 840;56 220;62 830;49 130
1431 Sports-, rekreasjons- og kultursenterledere;55 650;57 880;53 420;58 010;60 350;55 560
1439 Andre daglige ledere i tjenesteytende virksomheter;52 660;61 870;47 470;55 400;64 240;50 460
2111 Fysikere og astronomer;65 750;68 230;60 460;68 600;71 330;62 930
2112 Meteorologer;55 550;57 370;53 300;58 760;60 470;56 640
2113 Kjemikere;71 090;74 370;68 550;72 470;75 910;69 880
2114 Geologer og geofysikere;88 380;92 630;80 220;91 860;95 450;85 040
2120 Matematikere, statistikere mv.;59 120;62 450;55 930;61 210;64 670;57 810
2131 Biologer, botanikere, zoologer mv.;60 850;63 260;58 280;63 170;66 050;60 340
2132 Sivilagronomer mv.;57 400;58 840;55 770;58 380;61 100;54 940
2133 Miljøvernrådgivere;58 590;61 450;55 920;61 130;65 490;57 780
2141 Sivilingeniører (industri og produksjon);62 760;63 390;59 770;65 720;66 610;61 770
2142 Sivilingeniører (bygg og anlegg);68 540;69 590;64 130;71 010;72 140;66 330
2143 Sivilingeniører (miljøteknikk);65 080;69 280;61 480;67 800;72 490;64 080
2144 Sivilingeniører (maskin- og marin-teknikk);72 170;73 090;66 610;75 970;76 860;70 930
2145 Sivilingeniører (kjemi);66 990;72 720;60 700;69 020;74 570;62 790
2146 Sivilingeniører (geofag, petro-leumsteknologi, metallurgi mv.);85 030;87 220;79 130;91 980;93 940;86 770
2149 Andre sivilingeniører (unntatt elektroteknologi);72 600;75 900;66 870;76 400;80 230;70 160
2151 Sivilingeniører (elkraftteknikk);74 210;75 220;69 250;78 110;79 290;72 700
2152 Sivilingeniører (elektronikk);73 090;74 060;65 920;76 580;77 660;68 690
2153 Sivilingeniører (telekommunikasjon);70 000;70 950;:;70 800;71 340;:
2161 Sivilarkitekter;65 100;68 170;62 440;67 860;70 970;65 220
2162 Landskapsarkitekter;63 080;66 530;61 560;65 080;68 100;63 760
2163 Produkt- og klesdesignere;55 430;60 100;52 240;57 800;61 700;54 960
2164 Arealplanleggere;58 600;59 880;56 920;61 240;62 720;59 470
2165 Landmålere, kartografer mv.;55 560;56 060;54 640;57 380;57 720;56 730
2166 Grafiske- og multimediadesignere;51 820;54 280;49 520;54 850;57 600;52 260
2211 Allmennpraktiserende leger;75 650;80 820;71 480;78 890;84 520;74 540
2212 Legespesialister;91 470;97 660;86 320;95 280;101 740;90 070
2221 Spesialsykepleiere;54 250;57 810;53 820;56 490;60 620;55 990
2222 Jordmødre;59 260;:;59 260;62 340;:;62 320
2223 Sykepleiere;49 440;51 480;49 210;51 020;53 340;50 750
2224 Vernepleiere;47 660;48 850;47 270;49 460;50 860;49 010
2250 Veterinærer;57 410;63 600;55 540;59 720;66 360;57 810
2261 Tannleger;67 890;73 250;64 460;70 340;75 600;67 140
2262 Farmasøyter;55 960;57 990;55 470;57 580;58 900;57 250
2263 Helse- og miljørådgivere;:;:;:;:;:;:
2264 Fysioterapeuter;45 530;47 590;44 880;47 150;49 200;46 480
2265 Ernæringsfysiologer;53 070;60 600;51 140;55 320;64 580;52 910
2266 Audiografer og logopeder;46 350;45 330;46 590;48 270;48 400;48 230
2267 Ergoterapeuter;44 280;44 500;44 250;45 670;46 210;45 600
2269 Kiropraktorer mv.;54 420;56 340;51 010;57 040;58 980;53 480
2310 Universitets- og høyskolelektorer/-lærere;53 550;55 340;51 820;55 580;57 360;53 910
2320 Yrkesfaglærere;48 410;48 690;48 070;49 160;49 430;48 810
2330 Lektorer mv. (videregående skole);52 390;52 360;52 420;52 840;52 910;52 790
