navn x y z vx vy vz
sun 1.0 -0.008741112479692534 -0.0013379818959479393 0.0002146295335440333 1.0061860998952708e-18 -3.066064208946716e-18 2.5864671098756763e-21
mercury 1.6605481518732714e-07 0.33988799604727304 0.021989631495820183 -0.029856892735971797 -2.6808084502255737e-15 1.0753618460428828e-14 1.12503275274512e-15
venus 2.448327885340709e-06 -0.5125919444194488 -0.5203129373495164 0.022162855981563263 5.2710522169029864e-15 -5.205135230914523e-15 -3.7551502215765014e-16
earth 3.003364344983656e-06 -0.1263020817998998 -1.0102007925999519 0.00026751460157593783 6.167665328619444e-15 -7.592461148685403e-16 -2.2019694448631173e-19
mars 3.2271058586874533e-07 -1.59788485329096 0.4922882321885218 0.049541170941400314 -1.3294570856220999e-15 -4.466292298684208e-15 -6.090191038593939e-17
jupiter 0.0009544883077696756 4.3949721209571555 2.272072196793932 -0.107753950115975 -1.302193884362554e-15 2.5889784687128046e-15 1.8384679602556186e-17
saturn 0.00028581342720643705 8.567135303760274 -4.721905818215343 -0.2589963239167065 8.731241358277303e-16 1.7882218616516793e-15 -6.597113158559968e-17
uranus 4.365753080211214e-05 12.872587464333657 14.829931814603825 -0.11168798370339098 -1.0999268542523867e-15 8.783610112432925e-16 1.7517551423243277e-17
neptune 5.150062861453357e-05 29.79444837773889 -2.4237523171790296 -0.6367327685990888 8.573419863915407e-17 1.1543333501419003e-15 -2.574654032263362e-17
pluto 6.572793562987176e-09 16.63698325179173 -30.508798047691105 -1.547773046015085 1.0428387808131085e-15 3.000813867648463e-16 -3.371680926595318e-16
