navn vx vy vz
sun 1.0061860998952708e-18 -3.066064208946716e-18 2.5864671098756763e-21
mercury -2.6808084502255737e-15 1.0753618460428828e-14 1.12503275274512e-15
venus 5.2710522169029864e-15 -5.205135230914523e-15 -3.7551502215765014e-16
earth 6.167665328619444e-15 -7.592461148685403e-16 -2.2019694448631173e-19
mars -1.3294570856220999e-15 -4.466292298684208e-15 -6.090191038593939e-17
jupiter -1.302193884362554e-15 2.5889784687128046e-15 1.8384679602556186e-17
saturn 8.731241358277303e-16 1.7882218616516793e-15 -6.597113158559968e-17
uranus -1.0999268542523867e-15 8.783610112432925e-16 1.7517551423243277e-17
neptune 8.573419863915407e-17 1.1543333501419003e-15 -2.574654032263362e-17
pluto 1.0428387808131085e-15 3.000813867648463e-16 -3.371680926595318e-16
